Special Number,Month,Season,Total Weight,Recycle,Non-Recycle,Blue Net,Latitude,Longitude,Orientation,WindDirection,WindSpeed,Sediment,WidthLength,Coastline cleaned,Road Network,Tourist Business,Region
8476,6,Summer,0,0,0,0,36.978028,25.385861,North,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8477,6,Summer,0,0,0,0,37.034778,25.374639,North,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8478,6,Summer,0,0,0,0,37.025528,25.363639,North,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8479,6,Summer,0,0,0,0,36.97975,25.387083,North,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8480,6,Summer,0,0,0,0,37.080306,25.337639,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8481,6,Summer,0,0,0,0,37.08375,25.341306,West,N,4.5,Sand,1,1,0,0,86. ΝΑΞΟΣ
8482,6,Summer,0,0,0,0,36.985333,25.38525,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8483,6,Summer,0,0,0,0,36.985944,25.385111,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8484,6,Summer,0,0,0,0,37.087167,25.339611,West,N,4.5,Pebbles,1,1,0,0,86. ΝΑΞΟΣ
8485,6,Summer,0,0,0,0,37.088083,25.340306,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8486,6,Summer,0,0,0,0,37.091722,25.342972,West,N,4.5,Pebbles,1,1,0,0,86. ΝΑΞΟΣ
8487,6,Summer,0,0,0,0,37.092611,25.34425,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8488,6,Summer,0,0,0,0,37.089972,25.348194,West,N,4.5,Sand,1,1,0,0,86. ΝΑΞΟΣ
8489,6,Summer,0,0,0,0,37.089417,25.360889,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8490,6,Summer,0,0,0,0,37.089139,25.360889,West,N,4.5,Pebbles,1,1,0,0,86. ΝΑΞΟΣ
8491,6,Summer,0,0,0,0,37.089583,25.359944,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8492,6,Summer,0,0,0,0,37.090111,25.363056,West,N,4.5,Sand,1,1,0,0,86. ΝΑΞΟΣ
8493,6,Summer,0,0,0,0,37.09025,25.362806,West,N,4.5,Sand,1,1,0,0,86. ΝΑΞΟΣ
8494,6,Summer,0,0,0,0,37.089889,25.361778,West,N,4.5,Mixed,1,1,0,0,86. ΝΑΞΟΣ
8495,6,Summer,385,206,62,117,37.116722,25.394611,West,N,4.5,Mixed,422,25,0,0,86. ΝΑΞΟΣ
8497,6,Summer,0,0,0,0,37.433778,25.423917,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8498,6,Summer,0,0,0,0,37.434111,25.424389,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8499,6,Summer,0,0,0,0,37.430139,25.415556,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8500,6,Summer,0,0,0,0,37.423583,25.402028,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8501,6,Summer,76,17,30,29,37.43475,25.423139,South,N,6.5,Sand,3638,129,0,0,83. ΜΥΚΟΝΟΣ
8502,6,Summer,0,0,0,0,37.417333,25.396139,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8503,6,Summer,0,0,0,0,37.422528,25.401667,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8504,6,Summer,0,0,0,0,37.4225,25.386,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8505,6,Summer,53,0,53,0,37.410889,25.369389,South,N,6.5,Sand,150,15,0,0,83. ΜΥΚΟΝΟΣ
8506,6,Summer,0,0,0,0,37.435611,25.422,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8507,6,Summer,0,0,0,0,37.436778,25.421139,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8508,6,Summer,0,0,0,0,37.445083,25.441056,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8509,6,Summer,0,0,0,0,37.446111,25.451528,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8510,6,Summer,0,0,0,0,37.4065,25.352111,South,N,6.5,Mixed,1,1,0,0,83. ΜΥΚΟΝΟΣ
8512,6,Summer,0,0,0,0,37.385139,24.931194,South,N,6.5,Pebbles,1,1,0,0,22. ΣΥΡΟΣ
8513,6,Summer,0,0,0,0,37.385306,24.931222,South,N,6.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8514,6,Summer,0,0,0,0,37.386667,24.9335,South,N,6.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8515,6,Summer,0,0,0,0,37.386083,24.94575,South,N,6.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8516,6,Summer,0,0,0,0,37.38275,24.923306,South,NE,2.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8517,6,Summer,0,0,0,0,37.374333,24.8995,South,NE,2.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8519,6,Summer,0,0,0,0,37.381694,24.919167,South,NE,2.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8520,6,Summer,0,0,0,0,37.373389,24.897028,South,NE,2.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8521,6,Summer,0,0,0,0,37.371056,24.894333,South,NE,2.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8522,6,Summer,0,0,0,0,37.369444,24.887417,South,NE,2.5,Mixed,1,1,0,0,22. ΣΥΡΟΣ
8524,6,Summer,101,25,76,0,36.738306,23.065944,East,NE,6.0,Mixed,79,5,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8525,6,Summer,0,0,0,0,36.745417,23.057444,East,NE,6.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8526,6,Summer,0,0,0,0,36.744639,23.055056,East,NE,6.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8527,6,Summer,0,0,0,0,36.743361,23.048417,East,NE,6.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8528,6,Summer,0,0,0,0,36.737389,23.04525,East,NE,6.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8529,6,Summer,0,0,0,0,36.708722,23.025917,East,NE,6.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8530,6,Summer,0,0,0,0,36.698389,23.033139,East,NE,6.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8531,6,Summer,0,0,0,0,36.703028,23.035806,East,NE,6.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8532,6,Summer,0,0,0,0,36.527694,23.028667,East,NE,6.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8533,6,Summer,0,0,0,0,36.525611,23.035889,East,NE,6.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8534,6,Summer,0,0,0,0,36.423111,22.473361,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8535,6,Summer,143,29,84,30,36.430111,22.476111,West,SE,4.0,Pebbles,2458,115,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8536,6,Summer,0,0,0,0,36.441361,22.458917,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8537,6,Summer,0,0,0,0,36.443611,22.457222,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8538,6,Summer,0,0,0,0,36.448361,22.458722,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8539,6,Summer,109,28,50,31,36.451639,22.458389,West,SE,4.0,Pebbles,1552,87,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8540,6,Summer,0,0,0,0,36.454972,22.450194,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8541,6,Summer,0,0,0,0,36.695917,22.385528,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8542,6,Summer,0,0,0,0,36.694611,22.372917,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8543,6,Summer,0,0,0,0,36.694472,22.372722,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8544,6,Summer,0,0,0,0,36.694167,22.37225,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8545,6,Summer,0,0,0,0,36.693194,22.370111,West,SE,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8546,6,Summer,122,34,88,0,36.693889,22.3565,West,SE,4.0,Pebbles,2401,110,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8547,6,Summer,0,0,0,0,36.708889,22.348972,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8548,6,Summer,0,0,0,0,36.816528,22.294167,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8549,6,Summer,0,0,0,0,36.831444,22.278889,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8550,6,Summer,0,0,0,0,36.830167,22.280194,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8551,6,Summer,0,0,0,0,36.833583,22.276972,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8552,6,Summer,12,2,10,0,36.829861,22.280333,West,SW,4.0,Pebbles,104,10,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8553,6,Summer,0,0,0,0,36.856111,22.257194,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8554,6,Summer,0,0,0,0,36.85725,22.257,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8555,6,Summer,0,0,0,0,36.859083,22.255778,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8556,6,Summer,0,0,0,0,36.858806,22.253083,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8557,6,Summer,0,0,0,0,36.875583,22.239611,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8558,6,Summer,0,0,0,0,36.878778,22.239722,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8559,6,Summer,0,0,0,0,36.880417,22.239056,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8560,6,Summer,0,0,0,0,36.880972,22.233389,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8561,6,Summer,0,0,0,0,36.884806,22.234944,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8563,6,Summer,0,0,0,0,36.905778,22.201861,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8565,6,Summer,0,0,0,0,36.895417,22.160806,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8566,6,Summer,0,0,0,0,36.919694,22.131222,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8567,6,Summer,0,0,0,0,36.934167,22.143917,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8568,6,Summer,0,0,0,0,36.775333,21.932833,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8569,6,Summer,0,0,0,0,36.771806,21.931111,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8570,6,Summer,0,0,0,0,36.794778,21.964639,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8572,6,Summer,0,0,0,0,36.800917,21.952028,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8573,6,Summer,0,0,0,0,36.802611,21.950111,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8574,6,Summer,0,0,0,0,36.804083,21.947194,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8575,6,Summer,0,0,0,0,36.803694,21.947167,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8576,6,Summer,0,0,0,0,36.804694,21.943194,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8577,6,Summer,0,0,0,0,36.803583,21.944972,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8578,6,Summer,0,0,0,0,36.814944,21.935167,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8579,6,Summer,0,0,0,0,36.832139,21.931639,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8580,6,Summer,0,0,0,0,36.838444,21.931722,West,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8581,6,Summer,0,0,0,0,36.841528,21.929972,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8582,6,Summer,0,0,0,0,36.720667,21.877139,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8583,6,Summer,0,0,0,0,36.727667,21.885472,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8584,6,Summer,0,0,0,0,36.728611,21.886306,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8586,6,Summer,0,0,0,0,36.733278,21.892806,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8588,6,Summer,0,0,0,0,36.740222,21.899639,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8589,6,Summer,100,8,29,63,36.743167,21.902667,East,SW,4.0,Pebbles,2569,330,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8590,6,Summer,0,0,0,0,36.744167,21.904222,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8591,6,Summer,0,0,0,0,36.754722,21.919806,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8592,6,Summer,0,0,0,0,36.755056,21.920694,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8593,6,Summer,0,0,0,0,36.757417,21.930556,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8594,6,Summer,0,0,0,0,36.843306,21.929556,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8595,6,Summer,0,0,0,0,36.843833,21.928944,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8596,6,Summer,0,0,0,0,36.844528,21.927778,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8597,6,Summer,0,0,0,0,36.844917,21.927472,East,SW,4.0,Pebbles,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8598,6,Summer,0,0,0,0,36.847972,21.925861,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8599,6,Summer,0,0,0,0,36.847083,21.926139,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8600,6,Summer,0,0,0,0,36.858167,21.924861,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8601,6,Summer,0,0,0,0,36.8905,21.924222,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8602,6,Summer,0,0,0,0,36.896722,21.925278,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8603,6,Summer,0,0,0,0,36.937917,22.146139,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8604,6,Summer,0,0,0,0,36.942389,22.146111,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8605,6,Summer,0,0,0,0,36.952083,22.143056,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8606,6,Summer,0,0,0,0,36.9845,22.149806,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8607,6,Summer,0,0,0,0,36.988611,22.150694,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8608,6,Summer,0,0,0,0,36.989472,22.150944,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8609,6,Summer,0,0,0,0,37.004333,22.154556,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8610,6,Summer,0,0,0,0,37.012167,22.153806,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8611,6,Summer,0,0,0,0,37.013222,22.153556,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8612,6,Summer,0,0,0,0,36.952472,21.933889,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8613,6,Summer,0,0,0,0,36.943139,21.93225,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8614,6,Summer,0,0,0,0,36.938639,21.933278,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8615,6,Summer,0,0,0,0,36.937056,21.933194,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8616,6,Summer,0,0,0,0,36.936694,21.933389,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8617,6,Summer,0,0,0,0,36.936,21.933667,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8618,6,Summer,0,0,0,0,36.922194,21.932639,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8619,6,Summer,0,0,0,0,36.921583,21.932833,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8620,6,Summer,0,0,0,0,36.91625,21.931194,East,SW,4.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8621,6,Summer,0,0,0,0,36.741583,22.570972,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8622,6,Summer,0,0,0,0,36.741111,22.571611,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8623,6,Summer,0,0,0,0,36.673944,22.537556,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8624,6,Summer,0,0,0,0,36.664806,22.544806,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8625,6,Summer,0,0,0,0,36.662417,22.544833,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8626,6,Summer,0,0,0,0,36.660194,22.5455,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8627,6,Summer,0,0,0,0,36.65625,22.536528,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8628,6,Summer,0,0,0,0,36.657417,22.533528,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8629,6,Summer,0,0,0,0,36.659472,22.534389,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8630,6,Summer,0,0,0,0,36.660222,22.534083,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8631,6,Summer,0,0,0,0,36.662806,22.5325,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8632,6,Summer,0,0,0,0,36.663778,22.530806,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8633,6,Summer,0,0,0,0,36.663,22.532111,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8634,6,Summer,0,0,0,0,36.669167,22.510917,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8636,6,Summer,0,0,0,0,36.665222,22.503806,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8637,6,Summer,0,0,0,0,36.665472,22.504083,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8638,6,Summer,0,0,0,0,36.66475,22.503222,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8639,6,Summer,107,0,51,56,36.656194,22.499694,East,E,3.0,Mixed,855,160,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8640,6,Summer,0,0,0,0,36.652389,22.501806,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8641,6,Summer,0,0,0,0,36.6495,22.506028,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8642,6,Summer,0,0,0,0,36.641028,22.51175,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8643,6,Summer,0,0,0,0,36.638472,22.513167,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8644,6,Summer,0,0,0,0,36.611083,22.520389,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8645,6,Summer,0,0,0,0,36.654556,22.499917,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8646,6,Summer,0,0,0,0,36.617028,22.5015,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8647,6,Summer,0,0,0,0,36.617528,22.500667,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8648,6,Summer,0,0,0,0,36.617833,22.499944,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8649,6,Summer,0,0,0,0,36.619222,22.497,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8650,6,Summer,0,0,0,0,36.619694,22.496111,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8651,6,Summer,0,0,0,0,36.615861,22.488389,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8652,6,Summer,0,0,0,0,36.616222,22.487389,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8653,6,Summer,0,0,0,0,36.618111,22.489944,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8654,6,Summer,0,0,0,0,36.617278,22.486056,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8655,6,Summer,0,0,0,0,36.617639,22.484944,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8656,6,Summer,0,0,0,0,36.617528,22.484028,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8657,6,Summer,0,0,0,0,36.618,22.48125,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8658,6,Summer,0,0,0,0,36.617944,22.480722,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8659,6,Summer,0,0,0,0,36.616639,22.478806,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8660,6,Summer,0,0,0,0,36.614556,22.476194,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8661,6,Summer,0,0,0,0,36.5455,22.478194,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8662,6,Summer,0,0,0,0,36.4,22.484917,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8663,6,Summer,0,0,0,0,36.412444,22.488917,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8664,6,Summer,0,0,0,0,36.41375,22.491056,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8665,6,Summer,0,0,0,0,36.430778,22.483278,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8666,6,Summer,67,22,27,18,36.433139,22.481417,East,E,3.0,Mixed,998,180,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8667,6,Summer,0,0,0,0,36.436083,22.485083,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8668,6,Summer,0,0,0,0,36.438972,22.490194,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8669,6,Summer,0,0,0,0,36.451833,22.496611,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
8670,6,Summer,0,0,0,0,36.460528,22.494333,East,E,3.0,Mixed,1,1,0,0,113. ΠΕΛΟΠΟΝΗΣΣΟΣ
