Days of Operations,Special Number,Date,Beaches,Name of Beach,Total Weight,Recycle,Non-Recycle,Blue Net,Coordinates,Orientation,Sediment,WidthLength,Coastline of Clean Beach,Coastline cleaned,Finds/Comments,Beaches complete,Beaches check clean,Road Network,Tourist Business,source_file,source_row,Region,site_id,Month,Season,Latitude,Longitude,WindDirection,WindSpeed
89,7055.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 1,,0.0,0.0,0.0,0.0,"37°16'33.8""N 23°08'13.0""E",North,Mixed,,18.0,,,0.0,1.0,0,0,Typhoon2,1137,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7055,5,Spring,37.276056,23.136944,Calm,0.0
,7056.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 2,,0.0,0.0,0.0,0.0,"37°16'35.3""N 23°08'11.7""E",North,Pebbles,,11.0,,,0.0,1.0,0,0,Typhoon2,1138,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7056,5,Spring,37.276472,23.136583,Calm,0.0
,7057.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 3,,0.0,0.0,0.0,0.0,"37°16'36.2""N 23°08'09.2""E",North,Pebbles,,6.0,,,0.0,1.0,0,0,Typhoon2,1139,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7057,5,Spring,37.276722,23.135889,Calm,0.0
,7058.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 4,,0.0,0.0,0.0,0.0,"37°16'39.8""N 23°08'03.8""E",North,Pebbles,,6.0,,,0.0,1.0,0,0,Typhoon2,1140,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7058,5,Spring,37.277722,23.134389,Calm,0.0
,7059.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 5,,0.0,0.0,0.0,0.0,"37°16'43.5""N 23°07'47.2""E",North,Pebbles,,25.0,,,0.0,1.0,0,0,Typhoon2,1141,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7059,5,Spring,37.27875,23.129778,Calm,0.0
,7060.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 6,,0.0,0.0,0.0,0.0,"37°16'43.4""N 23°07'44.6""E",North,Pebbles,,60.0,,,0.0,1.0,0,0,Typhoon2,1142,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7060,5,Spring,37.278722,23.129056,Calm,0.0
,688.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 7,ΠΑΡΑΛΊΑ ΣΠΈΤΣΕΣ,0.0,0.0,0.0,0.0,"37°16'43.4""N 23°07'38.9""E",North,Pebbles,,44.0,,,0.0,1.0,0,0,Typhoon2,1143,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,688,5,Spring,37.278722,23.127472,Calm,0.0
,7061.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 8,,0.0,0.0,0.0,0.0,"37°16'45.5""N 23°07'33.4""E",North,Pebbles,,24.0,,,0.0,1.0,0,0,Typhoon2,1144,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7061,5,Spring,37.279306,23.125944,Calm,0.0
,7062.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 9,,0.0,0.0,0.0,0.0,"37°16'49.0""N 23°07'15.3""E",North,Pebbles,,11.0,,,0.0,1.0,0,0,Typhoon2,1145,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7062,5,Spring,37.280278,23.120917,Calm,0.0
,690.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 10,LOVER'S COVE,0.0,0.0,0.0,0.0,"37°16'49.8""N 23°07'01.7""E",North,Mixed,,50.0,,,0.0,1.0,0,0,Typhoon2,1146,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,690,5,Spring,37.2805,23.117139,Calm,0.0
,7063.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 11,,0.0,0.0,0.0,0.0,"37°16'51.0""N 23°06'59.5""E",North,Mixed,,23.0,,,0.0,1.0,0,0,Typhoon2,1147,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7063,5,Spring,37.280833,23.116528,Calm,0.0
,7064.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 12,,0.0,0.0,0.0,0.0,"37°16'41.2""N 23°06'44.9""E",North,Mixed,,16.0,,,0.0,1.0,0,0,Typhoon2,1148,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7064,5,Spring,37.278111,23.112472,Calm,0.0
,7065.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 13,,0.0,0.0,0.0,0.0,"37°16'40.3""N 23°06'44.7""E",North,Mixed,,23.0,,,0.0,1.0,0,0,Typhoon2,1149,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7065,5,Spring,37.277861,23.112417,Calm,0.0
,7066.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 14,,0.0,0.0,0.0,0.0,"37°16'36.3""N 23°06'42.1""E",North,Mixed,,15.0,,,0.0,1.0,1,0,Typhoon2,1150,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7066,5,Spring,37.27675,23.111694,Calm,0.0
,7067.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 15,,74.0,0.0,74.0,0.0,"37°16'43.8""N 23°05'54.3""E",North,Mixed,192.0,,50.0,,1.0,0.0,1,0,Typhoon2,1151,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7067,5,Spring,37.278833,23.098417,Calm,0.0
,7068.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 16,,0.0,0.0,0.0,0.0,"37°16'15.8""N 23°06'00.4""E",ΔΥΤΙΚΗ,Pebbles,,14.0,,,0.0,1.0,0,0,Typhoon2,1152,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7068,5,Spring,37.271056,23.100111,Calm,0.0
,7069.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 17,,0.0,0.0,0.0,0.0,"37°16'13.2""N 23°06'02.0""E",ΔΥΤΙΚΗ,Pebbles,,24.0,,,0.0,1.0,0,0,Typhoon2,1153,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7069,5,Spring,37.270333,23.100556,Calm,0.0
,7070.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 18,,0.0,0.0,0.0,0.0,"37°16'00.9""N 23°06'18.6""E",ΔΥΤΙΚΗ,Mixed,,105.0,,,0.0,1.0,0,0,Typhoon2,1154,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7070,5,Spring,37.266917,23.105167,Calm,0.0
,7071.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 19,,0.0,0.0,0.0,0.0,"37°15'58.5""N 23°06'20.3""E",ΔΥΤΙΚΗ,Pebbles,,11.0,,,0.0,1.0,0,0,Typhoon2,1155,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7071,5,Spring,37.26625,23.105639,Calm,0.0
,7072.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 20,,0.0,0.0,0.0,0.0,"37°15'57.3""N 23°06'20.5""E",ΔΥΤΙΚΗ,Pebbles,,6.0,,,0.0,1.0,0,0,Typhoon2,1156,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7072,5,Spring,37.265917,23.105694,Calm,0.0
,7073.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 21,,0.0,0.0,0.0,0.0,"37°15'41.1""N 23°06'31.9""E",ΔΥΤΙΚΗ,Mixed,,24.0,,,0.0,1.0,1,1,Typhoon2,1157,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7073,5,Spring,37.261417,23.108861,Calm,0.0
,7074.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 22,,0.0,0.0,0.0,0.0,"37°14'49.8""N 23°07'17.2""E",ΔΥΤΙΚΗ,Pebbles,,12.0,,,0.0,1.0,0,0,Typhoon2,1158,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7074,5,Spring,37.247167,23.121444,Calm,0.0
,7075.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 23,,0.0,0.0,0.0,0.0,"37°14'50.4""N 23°07'19.2""E",ΔΥΤΙΚΗ,Pebbles,,6.0,,,0.0,1.0,0,0,Typhoon2,1159,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7075,5,Spring,37.247333,23.122,Calm,0.0
,7076.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 24,,0.0,0.0,0.0,0.0,"37°14'36.7""N 23°07'29.5""E",ΔΥΤΙΚΗ,Pebbles,,15.0,,,0.0,1.0,0,0,Typhoon2,1160,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7076,5,Spring,37.243528,23.124861,Calm,0.0
,7077.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 25,,0.0,0.0,0.0,0.0,"37°14'31.5""N 23°07'34.5""E",ΔΥΤΙΚΗ,Pebbles,,24.0,,,0.0,1.0,0,0,Typhoon2,1161,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7077,5,Spring,37.242083,23.12625,Calm,0.0
,7078.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 26,,0.0,0.0,0.0,0.0,"37°14'25.6""N 23°07'36.3""E",ΔΥΤΙΚΗ,Mixed,,20.0,,,0.0,1.0,1,0,Typhoon2,1162,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7078,5,Spring,37.240444,23.12675,Calm,0.0
,7079.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 27,,0.0,0.0,0.0,0.0,"37°14'19.1""N 23°07'37.0""E",ΔΥΤΙΚΗ,Pebbles,,61.0,,,0.0,1.0,0,0,Typhoon2,1163,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7079,5,Spring,37.238639,23.126944,Calm,0.0
,7080.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 28,,0.0,0.0,0.0,0.0,"37°14'19.0""N 23°08'01.9""E",ΔΥΤΙΚΗ,Pebbles,,32.0,,,0.0,1.0,0,0,Typhoon2,1164,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7080,5,Spring,37.238611,23.133861,Calm,0.0
,7081.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 29,,0.0,0.0,0.0,0.0,"37°14'17.2""N 23°08'02.5""E",ΔΥΤΙΚΗ,Pebbles,,12.0,,,0.0,1.0,0,0,Typhoon2,1165,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7081,5,Spring,37.238111,23.134028,Calm,0.0
,7082.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 30,,0.0,0.0,0.0,0.0,"37°14'16.8""N 23°08'36.3""E",South,Pebbles,,24.0,,,0.0,1.0,0,0,Typhoon2,1166,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7082,5,Spring,37.238,23.143417,Calm,0.0
,7083.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 31,,0.0,0.0,0.0,0.0,"37°14'18.1""N 23°08'43.0""E",South,Pebbles,,24.0,,,0.0,1.0,1,0,Typhoon2,1167,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7083,5,Spring,37.238361,23.145278,Calm,0.0
,7084.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 32,,0.0,0.0,0.0,0.0,"37°14'15.9""N 23°08'46.8""E",South,Pebbles,,9.0,,,0.0,1.0,1,0,Typhoon2,1168,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7084,5,Spring,37.23775,23.146333,Calm,0.0
,7085.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 33,,0.0,0.0,0.0,0.0,"37°14'17.0""N 23°09'06.2""E",South,Mixed,,20.0,,,0.0,1.0,1,0,Typhoon2,1169,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7085,5,Spring,37.238056,23.151722,Calm,0.0
,7086.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 34,,0.0,0.0,0.0,0.0,"37°14'15.8""N 23°09'26.8""E",South,Pebbles,,42.0,,,0.0,1.0,0,0,Typhoon2,1170,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7086,5,Spring,37.237722,23.157444,Calm,0.0
,7087.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 35,ΠΑΡΑΛΊΑ ΚΟΎΖΟΥΝΟΣ,0.0,0.0,0.0,0.0,"37°14'26.1""N 23°09'37.1""E",South,Pebbles,,18.0,,,0.0,1.0,0,0,Typhoon2,1171,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7087,5,Spring,37.240583,23.160306,Calm,0.0
,7088.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 36,,0.0,0.0,0.0,0.0,"37°14'31.4""N 23°09'44.4""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,,60.0,,,0.0,1.0,1,1,Typhoon2,1172,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7088,5,Spring,37.242056,23.162333,Calm,0.0
,7089.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 37,,0.0,0.0,0.0,0.0,"37°14'33.1""N 23°09'44.8""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,,12.0,,,0.0,1.0,1,1,Typhoon2,1173,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7089,5,Spring,37.242528,23.162444,Calm,0.0
,7090.0,2023-05-24,ΣΠΈΤΣΕΣ ΠΑΡΑΛΊΑ 38,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΔΗΜΉΤΡΙΟΣ,0.0,0.0,0.0,0.0,"37°15'19.0""N 23°10'10.0""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,,8.0,,,0.0,1.0,1,1,Typhoon2,1174,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7090,5,Spring,37.255278,23.169444,Calm,0.0
90,7091.0,2023-05-27,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 39,,0.0,0.0,0.0,0.0,"37°20'44.6""N 23°20'38.7""E",North,Pebbles,,45.0,,,0.0,1.0,0,0,Typhoon2,1175,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7091,5,Spring,37.345722,23.344083,N,5.0
,7092.0,2023-05-27,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 40,,0.0,0.0,0.0,0.0,"37°20'43.4""N 23°20'39.2""E",North,Pebbles,,16.0,,,0.0,1.0,0,0,Typhoon2,1176,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7092,5,Spring,37.345389,23.344222,N,5.0
,7093.0,2023-05-27,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 41,,0.0,0.0,0.0,0.0,"37°20'42.3""N 23°20'39.6""E",North,Pebbles,,4.0,,,0.0,1.0,0,0,Typhoon2,1177,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7093,5,Spring,37.345083,23.344333,N,5.0
,7094.0,2023-05-27,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 42,,117.0,16.0,101.0,0.0,"37°20'36.2""N 23°20'44.5""E",North,Mixed,2365.0,,142.0,,1.0,0.0,0,0,Typhoon2,1178,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7094,5,Spring,37.343389,23.345694,N,5.0
,691.0,2023-05-27,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 43 (1),,42.0,0.0,42.0,0.0,"37°20'05.5""N 23°20'09.6""E",North,Pebbles,,,47.0,IN PROGRESS,1.0,0.0,0,0,Typhoon2,1179,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,691,5,Spring,37.334861,23.336,N,5.0
91,7095.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 44,,0.0,0.0,0.0,0.0,"37°20'37.4""N 23°31'10.2""E",ΔΥΤΙΚΗ,Pebbles,,58.0,,,0.0,1.0,0,0,Typhoon2,1180,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7095,5,Spring,37.343722,23.5195,NW,3.0
,730.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 45,ΠΑΡΑΛΊΑ ΛΙΜΝΙΌΝΙΖΑ,158.0,0.0,145.0,13.0,"37°20'32.0""N 23°30'09.8""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,2034.0,,96.0,,1.0,0.0,0,0,Typhoon2,1181,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,730,5,Spring,37.342222,23.502722,NW,3.0
,7096.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 46,ΠΑΡΑΛΊΑ ΛΙΜΝΙΌΝΙΖΑ,0.0,0.0,0.0,0.0,"37°20'15.4""N 23°30'02.6""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,,60.0,,,0.0,1.0,0,0,Typhoon2,1182,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7096,5,Spring,37.337611,23.500722,NW,3.0
,7097.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 47,,0.0,0.0,0.0,0.0,"37°19'41.6""N 23°30'00.8""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,,49.0,,,0.0,1.0,0,0,Typhoon2,1183,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7097,5,Spring,37.328222,23.500222,NW,3.0
,729.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 48,ΠΑΡΑΛΊΑ ΚΛΙΜΆΚΙ,0.0,0.0,0.0,0.0,"37°19'35.4""N 23°29'56.0""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,,114.0,,,0.0,1.0,0,0,Typhoon2,1184,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,729,5,Spring,37.3265,23.498889,NW,3.0
,7098.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 49,,0.0,0.0,0.0,0.0,"37°19'06.5""N 23°29'39.0""E",ΔΥΤΙΚΗ,Pebbles,,10.0,,,1.0,0.0,0,0,Typhoon2,1185,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7098,5,Spring,37.318472,23.494167,NW,3.0
,7099.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 50,,77.0,0.0,77.0,0.0,"37°19'01.1""N 23°27'01.9""E",ΔΥΤΙΚΗ,Pebbles,311.0,,21.0,,1.0,0.0,0,0,Typhoon2,1186,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7099,5,Spring,37.316972,23.450528,NW,3.0
,7100.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 51,,0.0,0.0,0.0,0.0,"37°18'43.4""N 23°26'19.8""E",ΔΥΤΙΚΗ,Pebbles,,14.0,,,0.0,1.0,0,0,Typhoon2,1187,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7100,5,Spring,37.312056,23.438833,NW,3.0
,7101.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 52,,0.0,0.0,0.0,0.0,"37°18'41.7""N 23°26'19.9""E",South,Pebbles,,77.0,,,1.0,0.0,0,0,Typhoon2,1188,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7101,5,Spring,37.311583,23.438861,NW,3.0
,7102.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 53,,0.0,0.0,0.0,0.0,"37°18'41.3""N 23°26'14.9""E",South,Pebbles,,25.0,,,0.0,1.0,0,0,Typhoon2,1189,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7102,5,Spring,37.311472,23.437472,NW,3.0
,7103.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 54,,94.0,0.0,76.0,18.0,"37°18'17.0""N 23°25'37.3""E",South,Pebbles,161.0,,21.0,,1.0,0.0,0,0,Typhoon2,1190,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7103,5,Spring,37.304722,23.427028,NW,3.0
,7104.0,2023-05-28,ΎΔΡΑ ΠΑΡΑΛΊΑ 55,,0.0,0.0,0.0,0.0,"37°18'15.6""N 23°25'14.4""E",South,Pebbles,,8.0,,,0.0,1.0,0,0,Typhoon2,1191,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7104,5,Spring,37.304333,23.420667,NW,3.0
92,7105.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 56,ΠΑΡΑΛΊΑ ΝΙΣΊΖΑ,0.0,0.0,0.0,0.0,"37°18'03.4""N 23°24'43.9""E",South,Pebbles,,16.0,,,0.0,1.0,0,0,Typhoon2,1192,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7105,5,Spring,37.300944,23.412194,NW,3.0
,728.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 57,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΝΙΚΌΛΑΟΣ,97.0,0.0,51.0,46.0,"37°18'03.8""N 23°23'43.5""E",South,Pebbles,3687.0,,159.0,,1.0,0.0,0,0,Typhoon2,1193,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,728,5,Spring,37.301056,23.395417,NW,3.0
,7106.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 58,,0.0,0.0,0.0,0.0,"37°18'04.1""N 23°23'38.7""E",South,Pebbles,,33.0,,,0.0,1.0,0,0,Typhoon2,1194,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7106,5,Spring,37.301139,23.394083,NW,3.0
,7107.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 59,,0.0,0.0,0.0,0.0,"37°18'03.0""N 23°23'37.4""E",South,Pebbles,,25.0,,,0.0,1.0,0,0,Typhoon2,1195,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7107,5,Spring,37.300833,23.393722,NW,3.0
,7108.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 60,,0.0,0.0,0.0,0.0,"37°18'01.7""N 23°23'36.1""E",South,Pebbles,,25.0,,,0.0,1.0,0,0,Typhoon2,1196,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7108,5,Spring,37.300472,23.393361,NW,3.0
,7109.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 61,,0.0,0.0,0.0,0.0,"37°17'56.5""N 23°22'47.1""E",South,Pebbles,,49.0,,,0.0,1.0,0,0,Typhoon2,1197,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7109,5,Spring,37.299028,23.37975,NW,3.0
,7110.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 62,,0.0,0.0,0.0,0.0,"37°17'52.6""N 23°22'29.8""E",South,Pebbles,,55.0,,,0.0,1.0,0,0,Typhoon2,1198,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7110,5,Spring,37.297944,23.374944,NW,3.0
,7111.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 63,ΠΑΡΑΛΊΑ ΜΠΙΣΤΊ,0.0,0.0,0.0,0.0,"37°17'56.7""N 23°22'09.6""E",ΔΥΤΙΚΗ,Pebbles,,78.0,,,0.0,1.0,0,0,Typhoon2,1199,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7111,5,Spring,37.299083,23.369333,NW,3.0
,7112.0,2023-05-29,ΤΡΙΚΕΡΊ ΠΑΡΑΛΊΑ 64,,57.0,0.0,57.0,0.0,"37°16'14.1""N 23°16'54.7""E",ΑΝΑΤΟΛΙΚΗ,Pebbles,425.0,,72.0,,1.0,0.0,0,0,Typhoon2,1200,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7112,5,Spring,37.270583,23.281861,NW,3.0
,7113.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 65,,60.0,35.0,25.0,0.0,"37°18'10.3""N 23°22'32.7""E",North,Pebbles,197.0,,20.0,,1.0,0.0,0,0,Typhoon2,1201,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7113,5,Spring,37.302861,23.37575,NW,3.0
,7114.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 66,,0.0,0.0,0.0,0.0,"37°18'30.6""N 23°22'44.3""E",ΔΥΤΙΚΗ,Pebbles,,37.0,,,0.0,1.0,0,0,Typhoon2,1202,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7114,5,Spring,37.3085,23.378972,NW,3.0
,7115.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 67,,0.0,0.0,0.0,0.0,"37°18'45.8""N 23°22'52.1""E",ΔΥΤΙΚΗ,Pebbles,,18.0,,,0.0,1.0,0,0,Typhoon2,1203,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7115,5,Spring,37.312722,23.381139,NW,3.0
,7116.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 68,,19.0,0.0,19.0,0.0,"37°18'47.4""N 23°22'51.7""E",ΔΥΤΙΚΗ,Pebbles,148.0,,30.0,,1.0,0.0,0,0,Typhoon2,1204,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7116,5,Spring,37.313167,23.381028,NW,3.0
,7117.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 69,,0.0,0.0,0.0,0.0,"37°18'52.4""N 23°23'00.5""E",North,Pebbles,,5.0,,,0.0,1.0,0,0,Typhoon2,1205,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7117,5,Spring,37.314556,23.383472,NW,3.0
,7118.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 70,,0.0,0.0,0.0,0.0,"37°18'53.5""N 23°23'01.4""E",North,Pebbles,,10.0,,,0.0,1.0,0,0,Typhoon2,1206,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7118,5,Spring,37.314861,23.383722,NW,3.0
,7119.0,2023-05-29,ΎΔΡΑ ΠΑΡΑΛΊΑ 71 (1),,133.0,36.0,97.0,0.0,"37°19'03.0""N 23°23'29.1""E",North,Mixed,,,45.0,IN PROGRESS,0.0,0.0,0,0,Typhoon2,1207,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7119,5,Spring,37.3175,23.391417,NW,3.0
93,7119.0,2023-05-30,ΎΔΡΑ ΠΑΡΑΛΊΑ 71 (2),,355.0,12.0,282.0,61.0,"37°19'03.0""N 23°23'29.1""E",North,Mixed,1409.0,,45.0,,1.0,0.0,0,0,Typhoon2,1208,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7119,5,Spring,37.3175,23.391417,SW,3.0
,7120.0,2023-05-30,ΎΔΡΑ ΠΑΡΑΛΊΑ 72,,0.0,0.0,0.0,0.0,"37°19'12.8""N 23°23'47.3""E",North,Pebbles,,18.0,,,0.0,1.0,0,0,Typhoon2,1209,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7120,5,Spring,37.320222,23.396472,SW,3.0
,7121.0,2023-05-30,ΎΔΡΑ ΠΑΡΑΛΊΑ 73,,0.0,0.0,0.0,0.0,"37°19'13.2""N 23°23'48.3""E",North,Pebbles,,10.0,,,0.0,1.0,0,0,Typhoon2,1210,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,7121,5,Spring,37.320333,23.39675,SW,3.0
